MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
130167,,2020-10-02 21:19,USD,True,-300,2024-05-21 18:01,ADMIN,0,0,USER,https://opencollective.com/mike-hardy,,https://github.com/mikehardy,http://mikehardy.net
130168,,2020-10-02 21:19,USD,True,-2,2024-08-26 12:33,HOST,0,17.68,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
131447,,2020-10-07 22:11,USD,True,5,2020-10-07 22:11,BACKER,0,5,USER,https://opencollective.com/dan-bateyko,,,
131448,,2020-10-07 22:11,0,True,0,2024-08-27 08:09,BACKER,0,25,ORGANIZATION,https://opencollective.com/reset,https://twitter.com/ResetdotTech,https://github.com/ReetNetwork,https://www.reset.tech
132836,,2020-10-13 12:43,USD,True,10,2020-10-13 12:43,BACKER,0,10,USER,https://opencollective.com/incognito-71a57627,,,
139163,,2020-11-09 10:41,USD,True,10,2020-11-09 10:41,BACKER,0,10,USER,https://opencollective.com/sviolo,,,
139639,,2020-11-11 02:12,USD,False,5,2021-04-01 03:15,BACKER,backer,30,USER,https://opencollective.com/incognito-5a7c7891,,,
141615,,2020-11-18 20:53,USD,True,20,2020-11-18 20:53,BACKER,0,20,USER,https://opencollective.com/maxime-bonvin,,,
141616,,2020-11-18 21:03,USD,True,5,2021-06-01 10:17,BACKER,0,6,USER,https://opencollective.com/guest-28663033,,,
141620,,2020-11-18 21:10,USD,True,20,2020-11-18 21:10,BACKER,0,20,USER,https://opencollective.com/guest-9e49d64e,,,
141639,,2020-11-18 23:14,USD,True,20,2020-11-18 23:14,BACKER,0,20,USER,https://opencollective.com/kyle-peterson1,,,
141642,,2020-11-18 23:32,USD,True,5,2024-08-01 19:03,BACKER,backer,175,USER,https://opencollective.com/dotan-cohen,,,
141643,,2020-11-18 23:35,USD,True,5,2020-11-18 23:35,BACKER,0,5,USER,https://opencollective.com/guest-280c7e91,,,
141649,,2020-11-19 00:28,USD,True,5,2020-11-19 00:28,BACKER,0,5,USER,https://opencollective.com/guest-8f68be2b,,,
141651,,2020-11-19 01:00,USD,True,1,2020-11-19 01:00,BACKER,0,1,USER,https://opencollective.com/benjamin-keep,,,
141657,,2020-11-19 01:40,USD,True,5,2020-11-19 01:40,BACKER,0,5,USER,https://opencollective.com/guest-2d77305b,,,
141658,,2020-11-19 01:42,USD,True,50,2023-11-02 10:04,BACKER,0,200,USER,https://opencollective.com/aleksander-songe-moller-soleim,,,
141662,,2020-11-19 02:19,USD,True,5,2024-08-01 04:05,BACKER,backer,225,USER,https://opencollective.com/cheong-yiu-fung,,,
141667,,2020-11-19 03:16,USD,True,5,2020-11-19 03:16,BACKER,0,5,USER,https://opencollective.com/guest-685ee993,,,
141671,,2020-11-19 03:33,USD,True,10,2020-11-19 03:33,BACKER,0,10,USER,https://opencollective.com/guest-da899936,,,
141683,,2020-11-19 04:25,USD,True,5,2020-11-19 04:25,BACKER,0,5,USER,https://opencollective.com/guest-a1b8d856,,,
141684,,2020-11-19 04:25,USD,True,20,2020-11-19 04:25,BACKER,0,20,USER,https://opencollective.com/guest-ea330997,,,
141686,,2020-11-19 04:33,USD,True,10,2020-11-19 04:33,BACKER,0,10,USER,https://opencollective.com/purilarp-daoaroonkiet,,,
141687,,2020-11-19 04:43,USD,True,5,2020-11-19 04:43,BACKER,0,5,USER,https://opencollective.com/guest-1803d9fe,,,
141689,,2020-11-19 04:50,USD,True,5,2020-11-19 04:50,BACKER,0,5,USER,https://opencollective.com/catherine1,,,
141695,,2020-11-19 06:39,USD,True,5,2020-11-19 06:39,BACKER,0,5,USER,https://opencollective.com/guest-d5dbab9e,,,
141696,,2020-11-19 06:39,USD,True,5,2024-08-01 05:03,BACKER,backer,305,USER,https://opencollective.com/rai,,,
