MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
4015,@sheerun,2017-04-06 18:13,USD,True,-2400,2024-07-30 15:50,ADMIN,0,0,USER,https://opencollective.com/adam-stankiewicz,https://twitter.com/sheerun,https://github.com/sheerun,https://sheerun.net
4016,,2017-04-06 18:13,USD,True,-5,2024-08-20 21:05,HOST,0,89.15,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
4025,,2017-04-07 00:12,USD,False,100,2022-03-01 02:16,BACKER,Sponsors,6000,ORGANIZATION,https://opencollective.com/icons8,https://twitter.com/icons_8,https://github.com/icons8,https://icons8.com/
5504,,2017-07-08 07:38,USD,False,100,2022-04-02 03:17,BACKER,Sponsors,5800,ORGANIZATION,https://opencollective.com/clayglobal,https://twitter.com/clayglobal,,https://clay.global
6020,,2017-08-13 20:28,USD,False,10,2017-11-01 21:30,BACKER,Backers,40,USER,https://opencollective.com/lgroothuijsen,,,
6101,,2017-08-16 12:01,USD,False,100,2017-10-01 13:01,BACKER,Sponsors,300,ORGANIZATION,https://opencollective.com/stream,https://twitter.com/getstream_io,,https://getstream.io
6478,,2017-09-08 09:16,USD,True,1,2017-09-08 09:16,BACKER,0,1,USER,https://opencollective.com/tomasz,https://twitter.com/tomekmajerski,,https://www.dpsdruk.pl
9174,Cloudsmith,2017-11-17 15:32,USD,False,2,2019-02-02 05:06,BACKER,Backers,32,USER,https://opencollective.com/alancarson,https://twitter.com/alancarson,https://github.com/alancaron,https://cloudsmith.com
10549,,2017-12-12 18:29,USD,False,100,2017-12-12 18:29,BACKER,Sponsors,100,ORGANIZATION,https://opencollective.com/keycdn,https://twitter.com/keycdn,,https://www.keycdn.com
12530,,2018-02-10 21:33,USD,False,100,2019-11-01 14:08,BACKER,Sponsors,2200,ORGANIZATION,https://opencollective.com/codeinwp,https://twitter.com/codeinwp,,https://www.codeinwp.com/blog/
13118,,2018-02-24 11:27,USD,False,100,2020-09-01 11:24,BACKER,Sponsors,2400,ORGANIZATION,https://opencollective.com/dontpayfull,https://twitter.com/DontPayFull,,https://www.dontpayfull.com
14618,,2018-04-02 08:04,USD,False,10,2019-07-01 05:24,BACKER,Backers,160,USER,https://opencollective.com/pc035860,,https://github.com/pc035860,https://pymaster.tw
15894,,2018-05-03 08:40,USD,False,20,2019-01-01 05:05,BACKER,Sponsors,565,ORGANIZATION,https://opencollective.com/gadgetcouncil,,,https://www.yournav.com/mobile-tracker/
18224,,2018-06-25 11:00,USD,False,2,2019-01-01 05:19,BACKER,Backers,16,ORGANIZATION,https://opencollective.com/hostpresto1,https://twitter.com/hostpresto,,https://hostpresto.com
19309,,2018-07-23 18:56,USD,False,100,2020-06-01 05:21,BACKER,Sponsors,1100,ORGANIZATION,https://opencollective.com/searchpromocodes,,,https://searchpromocodes.com
20747,,2018-08-17 00:44,USD,False,2,2018-08-17 00:44,BACKER,Backers,2,ORGANIZATION,https://opencollective.com/scraperapi2,https://twitter.com/scraperapi2,,https://www.scraperapi.com
21201,,2018-08-26 12:38,USD,False,2,2018-08-26 12:38,BACKER,Backers,2,ORGANIZATION,https://opencollective.com/unhype,https://twitter.com/unhypedotcom,,https://unhype.com
23620,,2018-10-06 15:21,USD,False,2,2018-11-01 05:12,BACKER,Backers,4,USER,https://opencollective.com/marksandmarker,,,https://www.givemedeals.com
25016,,2018-10-26 10:23,USD,True,1200,2018-10-26 10:23,BACKER,0,1200,ORGANIZATION,https://opencollective.com/webton-bv,,,https://www.webton.nl/
25472,,2018-11-02 13:10,USD,False,100,2019-04-01 05:20,BACKER,Backers,612,ORGANIZATION,https://opencollective.com/givemedeals,,,https://www.givemedeals.com
26108,,2018-11-12 16:08,USD,False,100,2019-10-09 05:01,BACKER,Sponsors,1200,ORGANIZATION,https://opencollective.com/hrank-com,,,https://www.hrank.com
26230,,2018-11-14 10:21,USD,False,-100,2022-12-29 23:26,BACKER,Sponsors,4950,ORGANIZATION,https://opencollective.com/vpsservercom,https://twitter.com/vpsservercom,,https://www.vpsserver.com
26385,,2018-11-17 09:51,USD,False,100,2022-07-01 00:06,BACKER,Sponsors,4050,ORGANIZATION,https://opencollective.com/codefirst,https://twitter.com/code_first,https://github.com/code-first,https://www.codefirst.co.uk
26509,,2018-11-20 10:55,USD,False,105,2020-08-03 05:14,BACKER,Sponsors,2310,ORGANIZATION,https://opencollective.com/hostednl,https://twitter.com/hostednl,,https://www.hosted.nl/
27611,,2018-12-05 04:55,USD,False,10,2019-04-01 05:21,BACKER,Backers,50,ORGANIZATION,https://opencollective.com/privacy-australia,,,https://privacyaustralia.net
27788,,2018-12-07 17:42,USD,False,120,2019-10-01 05:44,BACKER,Sponsors,1320,ORGANIZATION,https://opencollective.com/casino-topp,,,https://www.casinotopp.net/
27891,,2018-12-08 23:44,USD,True,100,2024-08-01 01:02,BACKER,Sponsors,6900,ORGANIZATION,https://opencollective.com/truevendor,,,https://www.ramotion.com/agency/web-design/
28060,@sheerun,2018-12-11 22:17,USD,True,-2400,2024-05-14 15:40,CONTRIBUTOR,0,0,USER,https://opencollective.com/adam-stankiewicz,https://twitter.com/sheerun,https://github.com/sheerun,https://sheerun.net
29491,,2019-01-03 17:56,USD,False,100,2019-02-01 14:29,BACKER,Sponsors,200,ORGANIZATION,https://opencollective.com/storbyferie-tips,,,https://dinstorbyferie.no/
29561,,2019-01-04 16:39,USD,False,100,2023-09-06 00:05,BACKER,Sponsors,5765,ORGANIZATION,https://opencollective.com/smalanutensikkerhet,,,https://xn--smlnutensikkerhet-9qbb.com
30026,@datantify,2019-01-11 09:59,USD,False,-100,2019-03-05 22:16,BACKER,Sponsors,200,USER,https://opencollective.com/datantify,https://twitter.com/datantify,https://github.com/datantify,https://datantify.com
30401,,2019-01-17 12:56,USD,False,100,2019-02-01 14:31,BACKER,Sponsors,200,ORGANIZATION,https://opencollective.com/omega-media,,,https://www.omegamedia.no
30776,,2019-01-23 11:10,USD,True,1200,2020-01-21 05:01,BACKER,0,2400,ORGANIZATION,https://opencollective.com/stk-finans,,,https://www.xn--forbruksln-95a.com/
31056,,2019-01-26 16:06,USD,False,100,2019-12-02 05:25,BACKER,Sponsors,1200,ORGANIZATION,https://opencollective.com/promocodewatch1,https://twitter.com/PromoCodeWatch,,https://www.promocodewatch.com
31097,,2019-01-27 13:25,USD,False,100,2019-02-01 14:32,BACKER,Sponsors,200,ORGANIZATION,https://opencollective.com/monovm,https://twitter.com/monovm,https://github.com/monovm,https://MonoVM.com
31813,,2019-02-04 18:19,USD,False,100,2019-02-04 18:19,BACKER,Sponsors,100,ORGANIZATION,https://opencollective.com/dailyinsta,,,https://dailyinsta.com/buy-instagram-likes/
32360,@google,2019-02-09 16:56,USD,False,2,2019-09-01 05:25,BACKER,Backers,16,USER,https://opencollective.com/nafsadh,https://twitter.com/nafsadh,https://github.com/nafsadh,https://nafSadh.com
32361,,2019-02-09 16:56,0,False,0,2024-08-27 10:50,BACKER,Backers,341,ORGANIZATION,https://opencollective.com/triplebyte,https://twitter.com/triple_byte,,https://triplebyte.com/os/opencollective
32517,,2019-02-11 14:13,USD,True,2,2024-08-01 01:03,BACKER,Backers,134,ORGANIZATION,https://opencollective.com/cloudsmith,https://twitter.com/cloudsmith,https://github.com/cloudsmith-io,https://cloudsmith.com
32777,,2019-02-14 07:12,USD,False,100,2019-05-01 05:28,BACKER,Sponsors,400,ORGANIZATION,https://opencollective.com/gameserverkings,,,https://www.gameserverkings.com/
32975,,2019-02-17 14:10,USD,False,100,2021-10-01 17:11,BACKER,Sponsors,3300,USER,https://opencollective.com/kredit,,,https://www.privatkreditsofort.ch/
33569,,2019-02-24 22:06,USD,True,-15.16,2019-03-11 00:21,CONTRIBUTOR,0,0,USER,https://opencollective.com/tenexdevelopers,https://twitter.com/tenexdevelopers,,https://tenex.tech
34047,,2019-03-01 17:04,USD,False,100,2020-09-01 10:15,BACKER,Sponsors,2005,ORGANIZATION,https://opencollective.com/my-true-media,https://twitter.com/MyTrueMedia,,https://mytruemedia.com/
34851,,2019-03-10 09:36,USD,False,50,2020-05-03 05:25,BACKER,Supporters,750,ORGANIZATION,https://opencollective.com/finance-media-aps,,,https://superkredit.net/
34915,,2019-03-11 10:56,USD,True,200,2019-03-11 10:56,BACKER,0,200,ORGANIZATION,https://opencollective.com/plan-b-services-llc,,,https://edubirdie.com/write-my-essay
35529,,2019-03-18 16:11,USD,False,5,2021-09-01 06:09,BACKER,Supporters,1175,ORGANIZATION,https://opencollective.com/your-online-presence,,,https://www.youronlinepresence.co.uk/
36254,,2019-03-26 04:51,USD,False,2,2019-04-01 05:35,BACKER,Backers,4,ORGANIZATION,https://opencollective.com/websitehostingrating,https://twitter.com/hosting_rating,,https://www.websiterating.com
36850,,2019-04-02 09:05,USD,True,200,2019-04-02 09:05,BACKER,0,200,ORGANIZATION,https://opencollective.com/sohome,,,https://www.sohome.nl/
36907,,2019-04-02 16:28,USD,False,100,2021-08-01 03:03,BACKER,Sponsors,2900,USER,https://opencollective.com/jonas-cederholm,,,
37024,,2019-04-03 18:21,USD,False,50,2019-08-02 20:57,BACKER,Sponsors,250,ORGANIZATION,https://opencollective.com/best-shark-tank-products,,,https://www.bestsharktankproducts.com
37107,,2019-04-04 07:14,USD,False,100,2020-07-02 05:17,BACKER,Sponsors,2100,ORGANIZATION,https://opencollective.com/lead-supply,,,https://loanscouter.com/
37174,,2019-04-04 21:19,USD,False,100,2020-02-01 05:15,BACKER,Sponsors,1100,ORGANIZATION,https://opencollective.com/customessaymeister-com,,,https://www.customessaymeister.com
37484,,2019-04-09 07:19,USD,False,100,2020-07-01 05:26,BACKER,Sponsors,1600,ORGANIZATION,https://opencollective.com/tekhattan,,,https://tekhattan.com
37609,,2019-04-10 09:53,USD,True,50,2024-08-01 22:11,BACKER,Sponsors,4350,ORGANIZATION,https://opencollective.com/fire-stick-tricks,,,https://www.firesticktricks.com
37698,,2019-04-11 15:40,USD,False,112,2019-10-01 05:42,BACKER,Sponsors,784,ORGANIZATION,https://opencollective.com/usave,,,https://usave.co.uk/utilities/broadband/
37719,,2019-04-11 18:37,USD,True,100,2024-08-01 19:06,BACKER,Supporters,2300,ORGANIZATION,https://opencollective.com/cryptonewsz,https://twitter.com/cryptonewsz_,,https://www.cryptonewsz.com/
37795,,2019-04-13 12:17,USD,False,112,2019-10-01 05:04,BACKER,Sponsors,784,ORGANIZATION,https://opencollective.com/bloktprivacy,,,https://blokt.com/guides/best-vpn
37851,,2019-04-14 18:55,USD,False,50,2021-10-01 13:20,BACKER,Supporters,1550,ORGANIZATION,https://opencollective.com/gorilla-sports-as,,,https://gorillasports.no/
37893,,2019-04-15 08:52,USD,False,2,2020-12-02 00:14,BACKER,Backers,42,ORGANIZATION,https://opencollective.com/netho-me,,,https://nethome.wiki/
