MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
31321,Lambda Factory,2019-01-30 16:33,USD,True,-3000,2021-03-02 01:05,ADMIN,0,0,USER,https://opencollective.com/k_cieslak,https://twitter.com/k_cieslak,https://github.com/Krzysztof-Cieslak,https://twitter.com/k_cieslak
31322,,2019-01-30 16:33,USD,True,-0.5,2024-08-26 10:09,HOST,0,0,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
31421,msu solutions GmbH,2019-01-31 15:00,USD,True,10,2024-08-09 11:39,ADMIN,0,680,USER,https://opencollective.com/steffen-forkmann,https://twitter.com/sforkmann,https://github.com/forki,
31426,,2019-01-31 15:55,USD,False,5,2024-02-01 00:10,BACKER,Backer,310,ORGANIZATION,https://opencollective.com/digitalsorcery,https://twitter.com/digitalsorcery,,https://hardingtech.net
31427,,2019-01-31 15:55,USD,False,5,2020-01-01 05:10,BACKER,Backer,65,USER,https://opencollective.com/eelco-mulder,,,
31428,,2019-01-31 16:01,USD,False,10,2021-05-01 13:04,BACKER,Backer,290,USER,https://opencollective.com/gerard-oconnor,,,
31430,,2019-01-31 16:05,USD,False,10,2021-06-01 13:11,BACKER,Backer,300,USER,https://opencollective.com/stuart-lang,,,
31431,,2019-01-31 16:08,USD,True,25,2024-08-01 00:03,BACKER,Backer,1700,USER,https://opencollective.com/jeremy-abbott,,,
31432,,2019-01-31 16:08,USD,False,5,2020-07-04 05:03,BACKER,Backer,45,USER,https://opencollective.com/henrik-ravn,,,
31433,,2019-01-31 16:15,USD,False,10,2021-12-01 03:16,BACKER,Backer,980,USER,https://opencollective.com/stephen-smith,https://twitter.com/sasmithjr,https://github.com/sasmithjr,https://twitter.com/sasmithjr
31435,,2019-01-31 16:18,USD,False,20,2020-02-01 05:26,BACKER,Backer,280,ORGANIZATION,https://opencollective.com/dustinmoris,https://twitter.com/dustinmoris,https://github.com/dustinmoris,https://dusted.codes
31438,@microsoft,2019-01-31 16:26,USD,True,10,2024-08-01 00:03,BACKER,Backer,680,USER,https://opencollective.com/phillip-carter,https://twitter.com/_cartermp,https://github.com/cartermp,
31440,,2019-01-31 16:33,USD,False,5,2019-09-01 05:20,BACKER,Backer,45,USER,https://opencollective.com/severin-sverdvik,,,
31442,,2019-01-31 16:50,USD,False,10,2022-05-01 12:10,BACKER,Backer,410,USER,https://opencollective.com/collin-kruger,,,
31454,msu solutions GmbH,2019-01-31 17:42,USD,True,10,2024-07-09 11:12,BACKER,Backer,680,USER,https://opencollective.com/steffen-forkmann,https://twitter.com/sforkmann,https://github.com/forki,
31455,,2019-01-31 17:49,USD,False,10,2021-07-01 14:06,BACKER,Backer,310,USER,https://opencollective.com/jan-schiefer,https://twitter.com/janschiefer,https://github.com/jschiefer,
31456,,2019-01-31 17:54,USD,False,5,2020-12-01 08:38,BACKER,Backer,120,USER,https://opencollective.com/andreas-willich,https://twitter.com/SabotageAndi,,https://t.co/MO3IDQbXlE
31457,,2019-01-31 17:57,USD,False,10,2019-09-01 05:20,BACKER,Backer,90,USER,https://opencollective.com/stachu-korick,,,
31458,Durius AB,2019-01-31 18:03,USD,False,50,2019-04-01 05:27,BACKER,Backer,200,USER,https://opencollective.com/robert-jeppesen,https://twitter.com/rojepp,https://github.com/rojepp,https://twitter.com/rojepp
31459,,2019-01-31 18:12,USD,False,5,2022-06-01 12:04,BACKER,Backer,210,USER,https://opencollective.com/tomas-leko,,,
31461,,2019-01-31 18:40,USD,True,10,2019-01-31 18:40,BACKER,0,10,USER,https://opencollective.com/johannes-baeurle,,,
31463,,2019-01-31 18:54,USD,True,5,2024-08-01 05:00,BACKER,Backer,340,USER,https://opencollective.com/elonon,,,
31465,,2019-01-31 19:03,USD,True,50,2019-01-31 19:03,BACKER,0,50,USER,https://opencollective.com/roman-provaznik,,,
31466,,2019-01-31 19:07,USD,False,10,2019-10-01 05:43,BACKER,Backer,100,USER,https://opencollective.com/maxime-mangel,https://twitter.com/MangelMaxime,https://github.com/MangelMaxime,https://twitter.com/MangelMaxime
31467,,2019-01-31 19:29,USD,True,10,2024-08-02 11:13,BACKER,Backer,680,USER,https://opencollective.com/sergey-tihon,https://twitter.com/sergey_tihon,https://github.com/sergey-tihon,https://sergeytihon.com/
31469,,2019-01-31 19:34,USD,False,5,2023-01-01 01:03,BACKER,Backer,245,USER,https://opencollective.com/vagif-abilov,,,
31475,,2019-01-31 20:14,USD,False,10,2019-06-01 05:17,BACKER,Backer,60,ORGANIZATION,https://opencollective.com/mag-solutions-limited,,,https://www.magsolutionsltd.co.uk
31476,,2019-01-31 20:16,USD,False,10,2019-06-07 09:20,BACKER,Backer,20,USER,https://opencollective.com/mikhail-smal,,,
