MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
28374,,2018-12-16 21:22,USD,True,-92.88,2023-12-12 20:00,ADMIN,0,0,USER,https://opencollective.com/joshuaboniface,,https://github.com/joshuaboniface,https://www.boniface.me
28375,,2018-12-16 21:22,USD,True,-0.5,2024-08-27 08:30,HOST,0,0.79,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
28376,,2018-12-16 21:25,0,True,0,2024-08-27 10:28,ADMIN,0,0,USER,https://opencollective.com/andrew-rabert,,https://github.com/nvllvm,https://nullsum.net
32054,,2019-02-06 23:35,USD,True,-42.35,2024-06-11 18:55,ADMIN,0,0,USER,https://opencollective.com/anthonylavado,https://twitter.com/anthonylavado,https://github.com/anthonylavado,https://www.anthonylavado.com
32069,,2019-02-07 05:23,USD,True,2,2019-10-01 05:47,BACKER,0,18,ORGANIZATION,https://opencollective.com/mellon1,,,https://speakfriend.enter
32075,,2019-02-07 08:40,USD,True,5,2019-02-07 08:40,BACKER,0,5,USER,https://opencollective.com/kristupas-savickas,,,
32132,,2019-02-07 18:35,USD,True,25,2019-02-07 18:35,BACKER,0,25,USER,https://opencollective.com/dinki,,,
32215,,2019-02-08 09:26,USD,True,2,2019-05-01 05:27,BACKER,0,8,USER,https://opencollective.com/arnoud-koster,,,
32342,,2019-02-09 12:59,USD,True,5,2019-02-09 12:59,BACKER,0,5,USER,https://opencollective.com/vegard-torvund,,,
32343,,2019-02-09 13:06,USD,True,5,2019-02-09 13:06,BACKER,0,5,USER,https://opencollective.com/dwight-beckett,,,
32344,,2019-02-09 13:08,USD,True,5,2019-02-09 13:08,BACKER,0,5,USER,https://opencollective.com/flemming-thesbjerg,,,
32345,,2019-02-09 13:17,USD,True,10,2019-02-09 13:17,BACKER,0,10,USER,https://opencollective.com/marten-dalemark,,,
32347,,2019-02-09 14:54,USD,True,5,2020-05-28 08:42,BACKER,0,10,USER,https://opencollective.com/bjoern-von-der-osten,,,
32348,,2019-02-09 14:59,USD,True,5,2019-02-09 14:59,BACKER,0,5,USER,https://opencollective.com/jack-kleiss,,,
32349,,2019-02-09 15:05,USD,True,10,2022-09-02 06:04,BACKER,0,450,USER,https://opencollective.com/fabian-von-feilitzsch,,,
32369,,2019-02-09 17:16,USD,True,2,2023-01-01 01:05,BACKER,0,96,USER,https://opencollective.com/campbellr,https://twitter.com/racampbell,https://github.com/campbellr,https://campbellr.ca
32372,,2019-02-09 17:25,USD,True,2,2021-07-02 06:14,BACKER,0,60,USER,https://opencollective.com/bdsa_,https://twitter.com/bdsa_,,https://anderson.plus
32389,,2019-02-09 21:02,USD,True,10,2024-08-01 05:00,BACKER,0,670,USER,https://opencollective.com/chris-franklin,,,
32394,,2019-02-09 21:47,USD,True,50,2019-02-09 21:47,BACKER,0,50,ORGANIZATION,https://opencollective.com/beecher,,,https://bn.ie
32398,,2019-02-09 21:59,USD,True,10,2019-02-09 21:59,BACKER,0,10,USER,https://opencollective.com/mr-grivixer,,,
32399,,2019-02-09 22:02,USD,True,2,2019-09-01 05:22,BACKER,0,16,ORGANIZATION,https://opencollective.com/baseflow,,https://github.com/bsflw,https://baseflow.ca
32450,,2019-02-10 16:50,USD,True,2,2020-11-01 09:38,BACKER,0,46,USER,https://opencollective.com/fraser-kirk,,,
32456,,2019-02-10 19:31,USD,True,20,2019-07-14 12:52,BACKER,0,45,USER,https://opencollective.com/florian-strasser,,,
32464,,2019-02-10 23:21,USD,True,5,2021-07-17 10:38,BACKER,0,65,USER,https://opencollective.com/gaetan-semet,,,
32487,,2019-02-11 08:32,USD,True,5,2019-07-01 05:37,BACKER,0,30,USER,https://opencollective.com/anagh-baranwal,,,
32512,,2019-02-11 13:41,USD,True,10,2019-02-11 13:41,BACKER,0,10,USER,https://opencollective.com/jay-zach,,,
32558,,2019-02-11 21:54,USD,True,2,2019-09-01 05:25,BACKER,0,12,USER,https://opencollective.com/davebrny,,https://github.com/davebrny,
32590,,2019-02-12 10:41,USD,True,10,2020-02-13 13:38,BACKER,0,20,USER,https://opencollective.com/gwendal-roulleau,,,
32674,,2019-02-13 09:14,USD,True,4,2019-02-13 09:16,BACKER,0,10,USER,https://opencollective.com/logical-phallacy,,,
32690,,2019-02-13 12:19,USD,True,10,2019-02-13 12:19,BACKER,0,10,ORGANIZATION,https://opencollective.com/jucgshu,,https://github.com/Jucghu,https://github.com/Jucgshu/
32731,,2019-02-13 20:25,USD,True,2,2023-01-01 01:06,BACKER,0,96,USER,https://opencollective.com/scott-billeg,,,
32863,,2019-02-15 08:52,USD,True,10,2019-02-15 08:52,BACKER,0,10,USER,https://opencollective.com/nathan-dorsey,,https://github.com/nathandorey,https://github.com/nathandorsey
32917,,2019-02-16 03:14,USD,True,10,2019-02-16 03:14,BACKER,0,10,USER,https://opencollective.com/cory-donovan,,,
32944,,2019-02-16 15:52,USD,True,50,2023-12-04 17:38,BACKER,0,166,USER,https://opencollective.com/anonymous2043,,,
32948,,2019-02-16 20:36,USD,True,20,2019-02-16 20:36,BACKER,0,20,USER,https://opencollective.com/hermeticsoup,,https://github.com/hermeticsoup,https://github.com/hermeticsoup
32961,,2019-02-17 02:24,USD,True,5,2019-04-26 16:51,BACKER,0,10,USER,https://opencollective.com/c-j,,,
33020,,2019-02-18 01:47,USD,True,10,2019-02-18 01:47,BACKER,0,10,USER,https://opencollective.com/maxime-l,,,
33053,,2019-02-18 12:18,USD,True,25,2019-02-18 12:18,BACKER,0,25,ORGANIZATION,https://opencollective.com/boboki,,,https://www.boboki.com
33082,,2019-02-18 16:09,USD,True,2,2020-05-02 10:47,BACKER,0,32,USER,https://opencollective.com/tmy,,,
33087,,2019-02-18 18:42,USD,True,2,2021-08-01 19:16,BACKER,0,62,USER,https://opencollective.com/chris-davies,,,
33156,,2019-02-19 19:53,USD,True,2,2023-01-01 01:07,BACKER,0,96,USER,https://opencollective.com/michael-helmers,,,https://mikehelmer.com
33177,,2019-02-19 22:25,USD,True,10,2019-02-19 22:25,BACKER,0,10,USER,https://opencollective.com/sebastian-muell,,,
33181,,2019-02-19 23:22,USD,True,5,2024-08-01 16:04,BACKER,0,335,USER,https://opencollective.com/bryan-fehl,,,
33255,@azuqua,2019-02-20 23:50,USD,True,10,2019-08-01 05:21,BACKER,0,70,USER,https://opencollective.com/jaredallard,https://twitter.com/jaredallard,https://github.com/jaredallard,https://jaredallard.me
33257,,2019-02-21 00:12,USD,True,5,2020-12-01 20:03,BACKER,0,115,USER,https://opencollective.com/michal-kozanecki,,,
33495,,2019-02-23 10:01,USD,True,30,2019-02-23 10:01,BACKER,0,30,USER,https://opencollective.com/jimmy-castel,,,
33632,,2019-02-25 15:20,USD,True,5,2020-01-03 05:07,BACKER,0,80,USER,https://opencollective.com/kris-roadruck,https://twitter.com/krisroadruck,,https://www.krisroadruck.com
33673,,2019-02-25 22:58,USD,True,5,2019-02-25 22:58,BACKER,0,5,USER,https://opencollective.com/jason-ruffner,,,
34069,,2019-03-01 23:05,USD,True,2,2019-10-01 05:22,BACKER,0,16,USER,https://opencollective.com/donald-wyman,,,
