MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
16820,,2018-05-21 16:36,USD,True,-1500,2024-01-04 16:49,ADMIN,0,0,USER,https://opencollective.com/cpojer,https://twitter.com/cpojer,,https://cpojer.net
16821,,2018-05-21 16:36,USD,True,-0.5,2024-08-21 22:23,HOST,0,65.35,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
16836,,2018-05-21 17:08,USD,False,1000,2020-02-01 05:24,BACKER,sponsor,22000,FUND,https://opencollective.com/fbopensource,https://twitter.com/MetaOpenSource,https://github.com/facebook,https://opensource.facebook.com/
16956,,2018-05-24 21:22,USD,False,2,2019-01-01 05:19,BACKER,backer,29,USER,https://opencollective.com/oieduardorabelo,https://twitter.com/oieduardorabelo,,https://www.eduardorabelo.me
16965,,2018-05-25 01:17,USD,True,20,2018-05-25 01:17,BACKER,0,20,USER,https://opencollective.com/bjacobel,https://twitter.com/bjacobel,,https://bjacobel.com
16979,,2018-05-25 09:23,USD,True,-905.15,2023-07-12 11:21,ADMIN,0,0,USER,https://opencollective.com/rickhanlonii,https://twitter.com/rickhanlonii,,https://rickhanlon.codes
16980,Callstack,2018-05-25 09:23,USD,True,-415.35,2023-01-30 22:56,ADMIN,0,0,USER,https://opencollective.com/thymikee,https://twitter.com/thymikee,https://github.com/thymikee,https://github.com/thymikee
18057,,2018-06-20 19:30,USD,False,5,2018-09-01 05:20,BACKER,backer,20,USER,https://opencollective.com/dagher_oss,https://twitter.com/danartgallagher,,
18095,,2018-06-21 20:01,USD,False,25,2019-02-01 05:20,BACKER,backer,225,USER,https://opencollective.com/aaronabramov_,https://twitter.com/aarondjents,https://github.com/aaronabramov,https://twitter.com/aarondjents
18360,laststance,2018-06-28 16:31,USD,False,2,2019-01-01 05:19,BACKER,backer,16,USER,https://opencollective.com/laststance,,https://github.com/laststance,https://laststance.io/
18368,,2018-06-28 17:27,USD,True,-32.88,2018-06-29 23:52,CONTRIBUTOR,0,0,USER,https://opencollective.com/rickhanlonii,https://twitter.com/rickhanlonii,,https://rickhanlon.codes
18380,,2018-06-29 04:58,USD,False,2,2020-05-03 05:06,BACKER,backer,48,USER,https://opencollective.com/akameco,https://twitter.com/akameco,https://github.com/akameco,https://github.com/akameco
18443,,2018-07-01 19:43,USD,False,25,2018-07-01 19:43,BACKER,backer,25,USER,https://opencollective.com/kent,https://twitter.com/kentcdodds,https://github.com/kentcdodd,https://twitter.com/kentcdodds
18444,PayPal,2018-07-01 19:46,USD,False,25,2019-06-01 05:10,BACKER,backer,300,USER,https://opencollective.com/kentcdodds,https://twitter.com/kentcdodds,https://github.com/kentcdodds,https://kentcdodds.com
18450,,2018-07-02 02:06,USD,False,25,2018-11-01 05:26,BACKER,backer,125,ORGANIZATION,https://opencollective.com/codepilotai,https://twitter.com/codepilotai,https://github.com/CodePilotai/codepilot,https://codepilot.ai
19081,,2018-07-18 09:25,USD,False,2,2019-01-01 05:20,BACKER,backer,14,ORGANIZATION,https://opencollective.com/hostpresto1,https://twitter.com/hostpresto,,https://hostpresto.com
19148,,2018-07-19 11:16,USD,True,250,2024-08-01 05:01,BACKER,sponsor,6470,FUND,https://opencollective.com/airbnb,https://twitter.com/airbnbeng,https://github.com/airbnb,https://www.airbnb.com/
19775,,2018-08-01 06:14,USD,False,2,2021-01-04 12:02,BACKER,backer,60,USER,https://opencollective.com/toonitw,https://twitter.com/toonitw,,
