MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
46902,,2019-07-22 21:39,USD,True,5,2024-08-01 01:05,ADMIN,0,305,USER,https://opencollective.com/aptalca,,https://github.com/aptalca,https://github.com/aptalca
46903,,2019-07-22 21:39,USD,True,-0.5,2024-08-25 11:54,HOST,0,1.69,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
46904,,2019-07-22 21:48,USD,True,-45.63,2023-10-31 18:03,ADMIN,0,125,USER,https://opencollective.com/j-0-nnymoe,,,
46905,,2019-07-22 21:48,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/chbmb,,,
46984,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/hackerman,,,
46985,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/xe,,,
46986,,2019-07-23 13:27,USD,True,-151.93,2023-05-04 15:49,MEMBER,0,0,USER,https://opencollective.com/stark,,,
46988,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/saarg,,,
46989,@Pocket,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/bass_rock,https://twitter.com/bass_rock,https://github.com/bassrock,https://twitter.com/bass_rock
46990,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/phendryx,,,
46991,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/thelamer,,,
46992,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/homerr,,,
46993,,2019-07-23 13:27,0,True,0,2024-08-27 09:29,MEMBER,0,0,USER,https://opencollective.com/kodestar,,,
47117,,2019-07-24 15:43,USD,False,5,2020-05-04 05:09,BACKER,backer,55,USER,https://opencollective.com/james-richardson,,,
47959,,2019-08-01 17:04,USD,False,5,2023-04-01 01:11,BACKER,backer,225,COLLECTIVE,https://opencollective.com/dockstarter,,https://github.com/GhostWriters/DockSTARTer,https://dockstarter.com/
48059,,2019-08-02 12:52,USD,False,5,2020-05-02 10:18,BACKER,backer,50,USER,https://opencollective.com/kyle-harding,,,
48314,,2019-08-04 20:12,USD,True,20,2019-08-04 20:12,BACKER,0,20,USER,https://opencollective.com/incognito-f312cf83,,,
48530,,2019-08-06 19:49,USD,False,5,2021-11-01 04:11,BACKER,backer,140,USER,https://opencollective.com/josiah-whitefield,,,
48811,,2019-08-09 21:34,USD,True,5,2019-08-09 21:34,BACKER,0,5,USER,https://opencollective.com/chris-guidry,https://twitter.com/chrisguidry,https://github.com/chriguidry,
48917,,2019-08-11 17:06,USD,True,20,2019-08-11 17:06,BACKER,0,20,USER,https://opencollective.com/kcho-pein,,,
49035,,2019-08-12 14:42,USD,True,2,2023-03-01 02:07,BACKER,0,88,USER,https://opencollective.com/opencollectiveuser80,,https://github.com/RandomNinjaAtk,https://github.com/RandomNinjaAtk
49163,,2019-08-13 19:22,USD,True,20,2019-08-13 19:22,BACKER,0,20,USER,https://opencollective.com/corneliu-giurgiu,,,
49247,,2019-08-14 15:44,USD,False,5,2023-02-01 02:05,BACKER,backer,215,USER,https://opencollective.com/marius-gilberg,https://twitter.com/MariusGilberg,https://github.com/gilbN,https://technicalramblings.com/
49614,,2019-08-19 04:30,USD,False,5,2021-12-01 06:03,BACKER,backer,145,USER,https://opencollective.com/ryan-kuba,,,
49715,,2019-08-20 03:54,USD,True,5,2019-08-20 03:54,BACKER,0,5,USER,https://opencollective.com/luke-russell,,,
50150,,2019-08-24 00:18,USD,True,5,2024-07-01 00:09,BACKER,backer,305,USER,https://opencollective.com/aptalca,,https://github.com/aptalca,https://github.com/aptalca
