MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
32170,@daemonite,2019-02-08 01:04,USD,True,10,2024-08-01 00:03,ADMIN,0,670,USER,https://opencollective.com/modius,https://twitter.com/modius,https://github.com/modiu,https://www.daemon.com.au
32171,,2019-02-08 01:04,USD,True,-1,2024-08-22 10:24,HOST,0,0,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
32182,,2019-02-08 01:34,0,True,0,2024-08-27 11:28,ADMIN,0,0,USER,https://opencollective.com/alex-skinner,,,
32183,@Lucee,2019-02-08 01:34,USD,True,-225,2024-08-01 17:55,ADMIN,0,0,USER,https://opencollective.com/joy-miller,https://twitter.com/lucee_twitter,https://github.com/lucee,https://lucee.org
32185,@daemonite,2019-02-08 02:20,USD,True,10,2024-07-01 00:05,BACKER,Individual Supporter,670,USER,https://opencollective.com/modius,https://twitter.com/modius,https://github.com/modiu,https://www.daemon.com.au
32186,,2019-02-08 02:27,USD,True,599,2024-08-01 00:03,BACKER,LAS Member,40133,ORGANIZATION,https://opencollective.com/daemonite,https://twitter.com/daemonite,,https://www.daemon.com.au
32187,,2019-02-08 03:24,USD,False,10,2020-04-03 05:19,BACKER,Individual Supporter,150,USER,https://opencollective.com/matthew-bryant,,,
32743,,2019-02-13 22:01,USD,False,7188,2024-02-01 00:11,BACKER,LAS Member,43128,ORGANIZATION,https://opencollective.com/pixl8,https://twitter.com/pixl8,https://github.com/pixl8,https://www.pixl8.co.uk/
32794,,2019-02-14 10:40,USD,True,10,2024-08-01 00:03,BACKER,Individual Supporter,670,USER,https://opencollective.com/jan-jannek,,,
34030,,2019-03-01 14:20,USD,False,599,2021-06-02 04:10,BACKER,LAS Member,16772,ORGANIZATION,https://opencollective.com/webapper-services,,,https://www.webapper.com/
34196,,2019-03-04 13:48,USD,True,10,2024-08-02 05:08,BACKER,Individual Supporter,530,USER,https://opencollective.com/joseph-lamoree,,,
34555,,2019-03-07 12:17,USD,True,599,2024-08-02 00:13,BACKER,LAS Member,38935,ORGANIZATION,https://opencollective.com/toomba_nl,https://twitter.com/toomba_nl,https://github.com/toomba,https://www.toomba.com/en/
34634,,2019-03-08 03:09,USD,True,150,2024-03-01 00:10,BACKER,Individual Supporter (Annual),900,USER,https://opencollective.com/simon-goldschmidt,,,
34639,,2019-03-08 06:22,USD,True,10,2024-08-01 01:03,BACKER,Individual Supporter,660,ORGANIZATION,https://opencollective.com/lucidsolutions,https://twitter.com/LucidSolutions_,https://github.com/LucidSolutions,https://lucidoutsourcing.com/
34650,,2019-03-08 08:46,USD,True,10,2024-08-01 06:01,BACKER,Individual Supporter,1020,USER,https://opencollective.com/jedihomer,https://twitter.com/jedihomert,https://github.com/jedihomer,https://www.jedihomer.net
34709,,2019-03-08 15:01,USD,False,10,2019-09-01 05:43,BACKER,Individual Supporter,70,USER,https://opencollective.com/robert-diamond,,,
34716,,2019-03-08 15:37,USD,False,120,2020-03-03 05:21,BACKER,Individual Supporter (Annual),240,ORGANIZATION,https://opencollective.com/inleaguellc,https://twitter.com/inLeagueLLC,https://github.com/inleagueLLC,https://www.inleague.org
34727,,2019-03-08 16:50,USD,False,10,2019-08-01 05:38,BACKER,Individual Supporter,60,USER,https://opencollective.com/carl-von-stetten,https://twitter.com/Cfvonner,https://github.com/Cfvonner,
34758,,2019-03-08 21:52,USD,False,120,2020-03-03 05:22,BACKER,Individual Supporter (Annual),240,USER,https://opencollective.com/denard-springle,,,
35093,,2019-03-12 19:11,USD,True,120,2024-03-01 00:10,BACKER,Individual Supporter (Annual),720,USER,https://opencollective.com/andrew-bollington,,,https://www.viaed.net
35225,,2019-03-14 08:33,USD,False,120,2019-03-14 08:33,BACKER,Individual Supporter (Annual),120,ORGANIZATION,https://opencollective.com/ollostore,https://twitter.com/ollostore,,https://www.ollo.it
35626,,2019-03-19 12:24,USD,True,120,2024-03-01 01:01,BACKER,Individual Supporter (Annual),720,USER,https://opencollective.com/jens-hoppe,,,
35791,@acrom,2019-03-20 14:50,USD,False,10,2020-02-02 05:19,BACKER,Individual Supporter,120,USER,https://opencollective.com/roger-klein,,,https://www.acrom.ch/
35832,,2019-03-20 23:26,USD,False,599,2023-11-01 13:06,BACKER,LAS Member,32346,ORGANIZATION,https://opencollective.com/mura,https://twitter.com/muracms,https://github.com/murasoftware,https://www.murasoftware.com
36098,,2019-03-24 09:13,USD,True,599,2024-08-01 01:06,BACKER,Corporate Sponsor,35642,ORGANIZATION,https://opencollective.com/charmikedelta,https://twitter.com/charmikedelta,,https://cmdhq.io
36668,,2019-03-31 01:29,USD,False,120,2023-03-01 01:12,BACKER,Individual Supporter (Annual),600,USER,https://opencollective.com/misha-mishyn,,,
36756,,2019-04-01 12:01,USD,True,10,2024-08-01 12:03,BACKER,Individual Supporter,310,USER,https://opencollective.com/richard-herbert,,,
36805,LeenTech Ltd,2019-04-01 19:29,USD,False,140,2022-03-04 18:22,BACKER,Individual Supporter,170,USER,https://opencollective.com/william-davison,,,https://leentech.co.uk/wordpress/
36829,,2019-04-02 02:35,USD,False,10,2020-05-02 10:39,BACKER,Individual Supporter,140,USER,https://opencollective.com/ahmad-nadzri-muhammad-nasir,,,
36837,,2019-04-02 07:16,USD,True,10,2024-08-01 12:09,BACKER,Individual Supporter,420,USER,https://opencollective.com/myles-lee,,,
36843,,2019-04-02 08:30,USD,False,100,2022-07-01 10:16,BACKER,Corporate Sponsor,4000,ORGANIZATION,https://opencollective.com/msodotnet,https://twitter.com/msodotnet,,https://www.mso.net
36887,Belatech Innovations Inc.,2019-04-02 14:25,USD,True,10,2024-07-28 13:00,BACKER,0,650,USER,https://opencollective.com/david-belanger,https://twitter.com/BelatechDave,https://github.com/dbelanger,https://www.bela.tech
37393,,2019-04-08 08:23,USD,True,5,2024-08-01 03:02,BACKER,0,325,ORGANIZATION,https://opencollective.com/dbr-training,,,https://www.dbr-training.eu/
37495,,2019-04-09 09:22,USD,True,120,2024-04-01 00:07,BACKER,Individual Supporter (Annual),720,USER,https://opencollective.com/tim-donovan,,,
