MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
14046,,2018-03-19 10:03,USD,True,-0.2,2024-08-26 11:36,HOST,0,1.92,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
14073,,2018-03-19 21:56,USD,True,25,2024-08-01 02:05,BACKER,sponsor,1465,USER,https://opencollective.com/masterchrister,https://twitter.com/christertysdal,https://github.com/masterchrister,
14078,,2018-03-19 23:43,USD,True,1,2020-03-01 05:04,BACKER,0,28,USER,https://opencollective.com/anonymous269,,,
14092,,2018-03-20 05:36,USD,True,5,2018-03-20 05:36,BACKER,0,5,USER,https://opencollective.com/anonymous271,,,
14107,,2018-03-20 10:35,USD,True,50,2018-03-20 10:35,BACKER,0,50,USER,https://opencollective.com/jerry-brown,,,
14237,,2018-03-23 14:35,USD,True,2,2022-01-05 21:02,BACKER,0,70,USER,https://opencollective.com/anonymous284,,,
14259,,2018-03-24 00:45,USD,True,10,2018-03-24 00:45,BACKER,0,10,USER,https://opencollective.com/anonymous288,,,
14261,,2018-03-24 04:06,USD,True,100,2018-03-24 04:06,BACKER,0,100,USER,https://opencollective.com/anonymous289,,,
14384,,2018-03-26 06:49,USD,True,30,2018-03-26 06:49,BACKER,0,30,USER,https://opencollective.com/jonas-walker,,,
14493,,2018-03-28 12:02,USD,True,5,2020-11-30 01:32,BACKER,0,10,USER,https://opencollective.com/alex-micu,,,
14521,,2018-03-28 23:14,USD,True,10,2018-03-28 23:14,BACKER,0,10,USER,https://opencollective.com/anonymous305,,,
14537,,2018-03-29 13:38,USD,True,10,2018-03-29 13:38,BACKER,0,10,USER,https://opencollective.com/darren-hallihan,,,
14603,,2018-03-31 18:56,USD,True,20,2018-03-31 18:56,BACKER,0,20,USER,https://opencollective.com/jp-schramek,,,
14689,,2018-04-03 19:29,USD,False,10,2023-03-01 00:13,BACKER,sponsor,600,USER,https://opencollective.com/tom-anderson,,,
14806,,2018-04-07 04:10,USD,True,10,2018-04-07 04:10,BACKER,0,10,USER,https://opencollective.com/f-k,,,
14840,,2018-04-07 17:41,USD,True,20,2022-04-26 14:50,BACKER,0,40,USER,https://opencollective.com/anonymous341,,,
14869,,2018-04-08 21:22,USD,False,10,2019-12-03 05:06,BACKER,sponsor,210,USER,https://opencollective.com/steven-hildebrant,,,
14940,,2018-04-11 10:43,USD,True,2,2024-08-02 10:38,BACKER,backer,154,USER,https://opencollective.com/anaftel,https://twitter.com/anaftel,,
15053,,2018-04-15 21:31,USD,True,10,2018-04-15 21:31,BACKER,0,10,USER,https://opencollective.com/weirdave,https://twitter.com/weirdave,,https://www.weirdave.com
15178,,2018-04-18 06:52,USD,True,5,2024-03-22 17:43,BACKER,0,245,USER,https://opencollective.com/ants000,https://twitter.com/ants000,,https://medium.com/@ants000
15311,,2018-04-21 00:16,USD,True,10,2018-04-21 00:16,BACKER,0,10,USER,https://opencollective.com/anonymous405,,,
15564,,2018-04-25 12:26,USD,True,10,2019-05-09 18:03,BACKER,0,20,USER,https://opencollective.com/ansahe-onysllo,,,
15615,,2018-04-26 15:42,USD,True,20,2021-10-31 20:01,BACKER,0,50,USER,https://opencollective.com/anonymous485,,,
15679,,2018-04-28 02:07,USD,True,10,2018-04-28 02:07,BACKER,0,10,USER,https://opencollective.com/kristian,,,
15697,,2018-04-28 14:31,USD,True,5,2018-04-28 14:31,BACKER,0,5,USER,https://opencollective.com/anonymous492,,,
15900,,2018-05-03 10:22,USD,True,2,2018-05-03 10:22,BACKER,0,2,USER,https://opencollective.com/free_pavel,https://twitter.com/free_pavel,,
15909,,2018-05-03 13:22,USD,True,2,2018-08-01 05:11,BACKER,0,208,USER,https://opencollective.com/christopher-hill,,,
16067,,2018-05-07 01:34,USD,True,25,2018-05-07 01:34,BACKER,0,25,USER,https://opencollective.com/anonymous403,,,
16107,,2018-05-07 22:39,USD,True,27,2018-05-07 22:39,BACKER,0,27,USER,https://opencollective.com/ron-martin,,,
16309,,2018-05-11 14:55,USD,True,5,2018-05-11 14:55,BACKER,0,5,USER,https://opencollective.com/boydieag,https://twitter.com/boydieag,,
16652,,2018-05-17 00:32,USD,True,10,2018-05-17 00:32,BACKER,0,10,USER,https://opencollective.com/george-zayas,,,
16816,,2018-05-21 14:44,USD,True,10,2018-05-21 14:44,BACKER,0,10,USER,https://opencollective.com/james-bicknell,,,
16893,,2018-05-23 06:49,USD,False,2,2018-09-11 22:30,BACKER,backer,4,USER,https://opencollective.com/evolorde,,,
16982,,2018-05-25 13:21,USD,False,4,2020-06-03 05:18,BACKER,backer,60,USER,https://opencollective.com/anonymous622,,,
17015,,2018-05-27 01:08,USD,False,10,2022-10-01 05:16,BACKER,sponsor,540,USER,https://opencollective.com/branden-snyder,,,
17281,,2018-06-01 10:15,USD,False,10,2018-12-06 14:35,BACKER,backer,22,USER,https://opencollective.com/bigge-hall,,,
17542,,2018-06-07 12:01,USD,False,2,2019-10-01 05:11,BACKER,backer,34,USER,https://opencollective.com/funkypenguin,https://twitter.com/funkypenguin,,https://www.funkypenguin.co.nz
17576,,2018-06-07 20:46,USD,True,2,2024-08-01 04:01,BACKER,backer,150,USER,https://opencollective.com/mike3,,,
17641,,2018-06-09 21:44,USD,True,2,2024-08-02 10:28,BACKER,backer,150,USER,https://opencollective.com/andreas-langas,,,
17926,,2018-06-17 13:58,USD,True,50,2018-06-17 13:58,BACKER,0,50,USER,https://opencollective.com/leo,,,
18075,,2018-06-21 05:55,USD,False,25,2018-08-01 05:18,BACKER,mega sponsor,75,USER,https://opencollective.com/dancurranjr,https://twitter.com/dancurranjr,,https://www.CurranOmniMedia.com
18097,,2018-06-21 21:22,USD,True,5,2018-06-21 21:22,BACKER,0,5,USER,https://opencollective.com/ron-ross,,,
18273,,2018-06-27 02:15,USD,True,10,2018-06-27 02:15,BACKER,0,10,USER,https://opencollective.com/andrew-rollins,,,
18291,,2018-06-27 12:15,USD,True,10,2018-06-27 12:15,BACKER,0,10,USER,https://opencollective.com/adrian-buchmann,,,
18495,,2018-07-03 00:33,USD,True,5,2018-07-03 00:33,BACKER,0,5,USER,https://opencollective.com/anonymous752,,,
18639,,2018-07-06 21:36,USD,True,20,2018-07-06 21:36,BACKER,0,20,USER,https://opencollective.com/victor-delcol,,,
18944,,2018-07-14 12:34,USD,True,25,2018-07-14 12:34,BACKER,0,25,USER,https://opencollective.com/anonymous809,,,
