MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
34216,,2019-03-04 16:31,USD,True,-598,2023-02-14 16:37,ADMIN,0,0,USER,https://opencollective.com/zloirock,https://twitter.com/zloirock,https://github.com/zloirock,https://zloirock.ru
34217,,2019-03-04 16:31,USD,True,-2.5,2024-08-24 11:31,HOST,0,4.93,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
35959,,2019-03-22 03:38,USD,False,10,2024-05-13 10:07,BACKER,backer,205,USER,https://opencollective.com/lacolaco,https://twitter.com/laco2net,https://github.com/lacolaco,https://lacolaco.net
35966,,2019-03-22 08:27,USD,True,500,2019-03-22 08:27,BACKER,0,500,USER,https://opencollective.com/string-epsilon,,,
36566,,2019-03-29 15:37,USD,False,25,2020-02-01 05:12,BACKER,backer,300,ORGANIZATION,https://opencollective.com/sebastiansoft,https://twitter.com/sebastiansoft,,https://sebastian-software.de/
37349,,2019-04-07 10:32,USD,False,5,2019-10-01 05:28,BACKER,backer,35,USER,https://opencollective.com/zeecoder,https://twitter.com/ZeeCoder,https://github.com/ZeeCoder,https://hubertviktor.com
39108,,2019-05-02 05:48,USD,True,5,2019-05-02 05:48,BACKER,0,5,USER,https://opencollective.com/m-l-c,https://twitter.com/vermicelli,https://github.com/mlc,https://mlcastle.net/
40210,,2019-05-14 20:00,USD,True,5,2024-08-01 00:04,BACKER,backer,320,USER,https://opencollective.com/reid-burke,,,
40325,pushred,2019-05-15 17:51,USD,True,5,2024-08-01 04:02,BACKER,backer,320,USER,https://opencollective.com/pushred,https://twitter.com/pushred,https://github.com/pushred,https://pushred.co
40667,,2019-05-20 22:28,USD,True,100,2019-05-20 22:28,BACKER,0,100,USER,https://opencollective.com/tom-lingham,,,
40722,,2019-05-21 16:11,USD,True,20,2019-05-21 16:11,BACKER,0,20,USER,https://opencollective.com/klamping,https://twitter.com/klamping,https://github.com/klamping,https://klamp.in
40774,,2019-05-22 01:43,USD,True,10,2019-05-22 01:43,BACKER,0,10,USER,https://opencollective.com/blacksheepcode,https://twitter.com/blacksheepcode,https://github.com/dwjohnston,https://blacksheepcode.com
41348,,2019-05-28 05:20,USD,False,5,2020-01-01 05:20,BACKER,backer,45,USER,https://opencollective.com/rajivshah3,,https://github.com/rajivshah3,https://github.com/rajivshah3
41624,,2019-05-30 12:02,USD,True,10,2019-05-30 12:02,BACKER,0,10,USER,https://opencollective.com/andres-espinoza,,,
42089,,2019-06-04 16:28,USD,True,10,2019-06-04 16:28,BACKER,0,10,USER,https://opencollective.com/ruben-rivera,,,
42144,ProductReview.com.au,2019-06-05 05:50,USD,True,5,2024-08-02 00:02,BACKER,backer,210,USER,https://opencollective.com/eliseu,https://twitter.com/eliseumds,,https://medium.com/@eliseumds
42404,,2019-06-07 19:53,USD,False,5,2019-09-01 05:25,BACKER,backer,20,USER,https://opencollective.com/alexandre-perestrelo,,,
42547,,2019-06-10 06:48,USD,False,5,2019-10-01 05:27,BACKER,backer,25,USER,https://opencollective.com/pterolex,https://twitter.com/Pterolex,https://github.com/pterolex,https://twitter.com/Pterolex
42552,,2019-06-10 08:42,USD,False,10,2020-05-03 05:05,BACKER,backer,120,USER,https://opencollective.com/dmitry-pavlov,,https://github.com/ByKeks,https://github.com/ByKeks
42553,,2019-06-10 08:43,USD,True,20,2019-06-10 08:43,BACKER,0,20,USER,https://opencollective.com/manasjayanth,https://twitter.com/ManasJayanth,https://github.com/ManasJayanth,https://manas-jayanth.com
