MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
48199,,2019-08-04 11:16,EUR,True,-0.24,2024-08-25 10:25,HOST,0,43.9,ORGANIZATION,https://opencollective.com/europe,https://twitter.com/OC_Europe,,https://www.oceurope.org/
48272,,2019-08-04 11:55,EUR,True,-77.36,2024-05-03 08:26,MEMBER,0,0,USER,https://opencollective.com/stefano-capitani,,https://github.com/Ste74,
48274,,2019-08-04 11:55,EUR,True,-232.9,2022-05-23 15:13,ADMIN,0,0,USER,https://opencollective.com/matti-hyttinen,,https://github.com/Chrysostomus,https://github.com/Chrysostomus
48275,,2019-08-04 11:55,EUR,True,-434.75,2024-02-13 09:42,MEMBER,0,0,USER,https://opencollective.com/dan-johansen,,https://github.com/Strit,https://www.strits.dk
48276,,2019-08-04 11:55,0,True,0,2024-08-27 10:41,MEMBER,0,0,USER,https://opencollective.com/josh-crowder,,,
48277,,2019-08-04 11:55,EUR,True,-32.79,2023-07-27 08:01,ADMIN,0,0,USER,https://opencollective.com/philip-mueller,,,
48278,,2019-08-04 11:55,0,True,0,2024-08-27 10:41,ADMIN,0,0,USER,https://opencollective.com/bernhard-landauer,,,
48279,@linux-aarhus,2019-08-04 11:55,EUR,True,-1671.14,2023-11-16 11:42,MEMBER,0,0,USER,https://opencollective.com/frede-hundewadt,,https://github.com/fhdk,https://root.nix.dk/
48290,,2019-08-04 12:26,0,True,0,2024-08-27 10:41,MEMBER,0,0,USER,https://opencollective.com/guillaume-beniot1,,,
48291,,2019-08-04 12:26,EUR,True,-509.75,2024-03-25 07:47,ADMIN,0,0,USER,https://opencollective.com/vitor-lopes1,,,
48301,,2019-08-04 17:35,EUR,False,5,2019-08-04 17:35,BACKER,supporter 3,5,USER,https://opencollective.com/incognito-bb724ca9,,,
51858,,2019-09-08 21:09,EUR,False,5,2022-06-01 11:03,BACKER,supporter 1,170,USER,https://opencollective.com/andreas-gravgaard-andersen,,,
51899,,2019-09-09 06:58,EUR,False,5,2023-03-01 02:11,BACKER,supporter 1,215,USER,https://opencollective.com/jan-cespivo,,,
51910,,2019-09-09 07:55,EUR,True,5,2020-04-03 05:19,BACKER,0,40,USER,https://opencollective.com/facundo-estevez,,,
51933,,2019-09-09 10:15,EUR,True,10,2024-08-01 01:05,BACKER,0,610,USER,https://opencollective.com/jan-trejbal,https://twitter.com/trejjam,https://github.com/trejjam,https://jan.trejbal.land/
51949,,2019-09-09 12:18,EUR,False,5,2023-05-01 07:08,BACKER,supporter 1,225,USER,https://opencollective.com/bernhard-mollenhauer,,,
52335,,2019-09-10 07:15,EUR,False,3,2022-03-01 22:06,BACKER,supporter 3,152,USER,https://opencollective.com/jakob-kofod-beyer,,,
52349,,2019-09-10 08:52,EUR,True,30,2019-09-23 21:38,BACKER,0,30,USER,https://opencollective.com/andre-lehmann,,,
52450,,2019-09-10 21:56,0,True,0,2024-08-27 10:41,BACKER,0,0,USER,https://opencollective.com/incognito-d50edb9d,,,
52515,,2019-09-11 09:35,EUR,True,5,2021-01-19 11:42,BACKER,0,10,USER,https://opencollective.com/arkadiusz-tumas,,,
52518,,2019-09-11 10:20,0,True,0,2024-08-27 10:41,BACKER,0,0,USER,https://opencollective.com/robin-bigeard,,,
52523,,2019-09-11 11:43,EUR,True,20,2019-09-11 11:43,BACKER,0,20,USER,https://opencollective.com/incognito-4eb9b6e5,,,
52573,,2019-09-11 18:13,EUR,True,1,2021-02-01 22:04,BACKER,0,18,USER,https://opencollective.com/simone-dagli-orti,,,
52591,,2019-09-11 19:40,0,True,0,2024-08-27 10:41,BACKER,0,0,USER,https://opencollective.com/lorenzospagetthiravioli,,,
52600,,2019-09-11 20:30,EUR,True,10,2019-09-23 21:38,BACKER,0,10,USER,https://opencollective.com/incognito-7d94cfce,,,
52927,,2019-09-14 20:21,EUR,True,5,2019-09-14 20:21,BACKER,0,5,USER,https://opencollective.com/jules-jules,,,
53408,,2019-09-19 03:33,EUR,True,20,2022-06-06 00:34,BACKER,0,30,USER,https://opencollective.com/zdeefe-luchnik,,,
53599,,2019-09-20 09:19,EUR,True,2,2019-09-20 09:19,BACKER,0,2,USER,https://opencollective.com/andrea-tosti,,,
53699,,2019-09-21 01:34,EUR,True,5,2019-09-21 01:34,BACKER,0,5,USER,https://opencollective.com/gunnar-json,,,
53792,,2019-09-22 03:39,EUR,True,4,2019-09-22 03:39,BACKER,0,4,USER,https://opencollective.com/danchev,,https://github.com/danchev,https://github.com/danchev
