MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
9177,,2017-11-17 16:37,USD,True,-3500,2024-08-06 12:00,ADMIN,0,0,USER,https://opencollective.com/remysharp,https://twitter.com/rem,https://github.com/remy,https://remysharp.com
9178,,2017-11-17 16:37,USD,True,-10,2024-08-25 20:15,HOST,0,50.26,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
10434,,2017-12-07 20:28,USD,True,10,2017-12-07 20:28,BACKER,0,10,USER,https://opencollective.com/toresaanum,,,
10608,,2017-12-14 08:10,USD,False,5,2018-05-02 05:07,BACKER,backer,30,USER,https://opencollective.com/mickael_andrieu,https://twitter.com/mickael_andrieu,,
10679,,2017-12-18 01:04,USD,True,30,2017-12-18 01:04,BACKER,0,30,USER,https://opencollective.com/hashbhang,https://twitter.com/hashbhang,,https://mfdc.biz
10698,,2017-12-18 10:25,USD,False,5,2018-09-02 05:02,BACKER,backer,50,USER,https://opencollective.com/mziehlke,https://twitter.com/mziehlke,,https://dmio.co
10854,BuiltByMe,2017-12-22 13:07,USD,False,5,2018-12-05 05:01,BACKER,backer,65,USER,https://opencollective.com/ukmadlz,https://twitter.com/ukmadlz,https://github.com/ukmadlz,https://builtbyme.tech
10888,,2017-12-23 20:05,USD,True,50,2023-12-01 21:01,BACKER,0,410,USER,https://opencollective.com/gavinmogan,https://twitter.com/halkeye,https://github.com/halkeye,https://www.gavinmogan.com
11054,,2017-12-31 18:51,USD,True,10,2017-12-31 18:51,BACKER,0,10,USER,https://opencollective.com/jonathan-roy,,,https://www.sjeng.org
11099,,2018-01-02 20:31,USD,True,10,2018-01-02 20:31,BACKER,0,10,USER,https://opencollective.com/philmdev,https://twitter.com/PhilMDev,,
11166,pushred,2018-01-04 19:32,USD,False,5,2022-01-05 10:02,BACKER,backer,245,USER,https://opencollective.com/pushred,https://twitter.com/pushred,https://github.com/pushred,https://pushred.co
11283,,2018-01-09 09:20,USD,False,2,2021-01-04 15:13,BACKER,backer,74,USER,https://opencollective.com/avaly,https://twitter.com/avaly,https://github.com/avaly,https://agachi.name/
11324,,2018-01-10 14:51,USD,True,15,2018-01-10 14:51,BACKER,0,15,USER,https://opencollective.com/metoikos,https://twitter.com/metoikos,,
11337,,2018-01-10 21:46,USD,True,20,2018-01-10 21:46,BACKER,0,20,USER,https://opencollective.com/atinux,https://twitter.com/Atinux,https://github.com/Atinux,https://github.com/atinux
11414,,2018-01-12 20:59,USD,True,10,2018-01-12 20:59,BACKER,0,10,USER,https://opencollective.com/fatih,,https://github.com/fatihky,https://github.com/fatihky
11426,,2018-01-13 01:42,USD,False,2,2021-12-01 02:03,BACKER,backer,96,USER,https://opencollective.com/zaccolley,https://twitter.com/zaccolley,https://github.com/zaccolley,https://zac.land
11577,,2018-01-17 18:00,USD,True,10,2018-01-17 18:00,BACKER,0,10,ORGANIZATION,https://opencollective.com/razoyo1,https://twitter.com/razoyo,,https://www.razoyo.com
11713,,2018-01-21 19:09,USD,False,100,2018-11-02 05:03,BACKER,sponsor,1100,ORGANIZATION,https://opencollective.com/mixmax,https://twitter.com/Mixmax,https://github.com/mixmaxhq,https://mixmax.com
11879,MSP DNA,2018-01-25 18:26,USD,False,2,2018-03-02 15:24,BACKER,backer,6,USER,https://opencollective.com/darkpixel,https://twitter.com/darkpixel,https://github.com/darkpixel,https://resume.heyaaron.com/
12699,,2018-02-14 06:54,USD,True,25,2018-02-14 06:54,BACKER,0,25,USER,https://opencollective.com/gary-desorbo,,,https://garydesorbo.com
12752,,2018-02-15 16:31,USD,False,198,2019-09-30 11:53,BACKER,backer,398,ORGANIZATION,https://opencollective.com/matterstech,https://twitter.com/matterstech,,https://matters.tech
12760,,2018-02-15 16:46,USD,True,2,2024-08-01 00:02,BACKER,backer,158,USER,https://opencollective.com/outsideris,https://twitter.com/Outsideris,https://github.com/outsideris,https://twitter.com/Outsideris
13051,,2018-02-22 16:27,USD,True,10,2018-02-22 16:27,BACKER,0,10,USER,https://opencollective.com/christian-johansson,,,
13054,,2018-02-22 17:06,USD,False,2,2018-03-02 15:22,BACKER,backer,4,ORGANIZATION,https://opencollective.com/octave_tn,https://twitter.com/octave_tn,,https://octave.tn
13183,@yikesable,2018-02-26 09:42,USD,False,10,2022-05-12 13:06,BACKER,backer,50,USER,https://opencollective.com/voxpelli,https://twitter.com/voxpelli,https://github.com/voxpelli,https://voxpelli.com/
13434,,2018-03-02 17:02,USD,True,2,2024-08-01 02:00,BACKER,backer,156,ORGANIZATION,https://opencollective.com/thebearingedge,https://twitter.com/thebearingedge,,https://timdav.is
14264,,2018-03-24 14:22,USD,True,10,2018-03-24 14:22,BACKER,0,10,USER,https://opencollective.com/traviskaufman,https://twitter.com/traviskaufman,,
14523,,2018-03-29 02:49,USD,True,10,2018-03-29 02:49,BACKER,0,10,USER,https://opencollective.com/anonymous308,,,
14611,多会,2018-04-01 02:58,USD,False,5,2018-08-01 05:17,BACKER,backer,25,ORGANIZATION,https://opencollective.com/duohui,,,https://www.duohui.cn
14620,,2018-04-02 09:51,USD,True,10,2018-04-02 09:51,BACKER,0,10,USER,https://opencollective.com/anonymous320,,,
14739,,2018-04-05 05:59,USD,True,10,2018-04-05 05:59,BACKER,0,10,USER,https://opencollective.com/herminio-garcia,,,
14991,,2018-04-13 14:03,USD,True,50,2018-04-13 14:03,BACKER,0,50,ORGANIZATION,https://opencollective.com/wyzetalk,,,https://www.wyzetalk.com
15274,,2018-04-20 08:01,USD,False,2,2020-08-02 05:08,BACKER,backer,58,ORGANIZATION,https://opencollective.com/gurugate,https://twitter.com/gurugate,,https://www.gurugate.com
15735,,2018-04-29 19:19,USD,True,10,2018-04-29 19:19,BACKER,0,10,USER,https://opencollective.com/shiyaluo,https://twitter.com/ShiyaLuo,,
15874,,2018-05-03 02:06,USD,True,50,2018-05-03 02:06,BACKER,0,50,USER,https://opencollective.com/ericliprandi,https://twitter.com/EricLiprandi,,
15920,@Phili-Tech,2018-05-03 18:00,USD,True,100,2018-05-03 18:00,BACKER,0,100,USER,https://opencollective.com/francisvarga,,https://github.com/FranciVarga,https://github.com/FrancisVarga
15954,Scheer PAS AG,2018-05-04 09:26,USD,False,2,2019-06-01 05:19,BACKER,backer,22,USER,https://opencollective.com/gvolluz,https://twitter.com/GVolluz,,https://www.scheer-pas.com/
