MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
1766,,2016-10-02 23:30,USD,True,-2100,2017-12-08 19:51,ADMIN,0,80,USER,https://opencollective.com/seanlarkin,,https://github.com/thelarkinn,https://github.com/thelarkinn
1767,webpack,2016-10-02 23:30,USD,True,-4993,2022-02-08 00:36,ADMIN,0,0,USER,https://opencollective.com/tobiaskoppers,https://twitter.com/wSokra,https://github.com/sokra,
1768,,2016-10-02 23:30,USD,True,-526,2018-05-18 18:33,ADMIN,0,0,USER,https://opencollective.com/johannesewald,,,
1770,,2016-10-02 23:30,USD,True,-0.2,2024-08-26 11:12,HOST,0,108.03,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
1875,,2016-10-15 15:47,USD,False,2,2017-04-15 16:49,BACKER,Backer,14,USER,https://opencollective.com/aseem,https://twitter.com/AseemSood_,,
1876,@orainteractive,2016-10-15 17:06,USD,False,10,2017-07-15 18:09,BACKER,Backer,100,USER,https://opencollective.com/_seanclayton,https://twitter.com/seanaverage,,https://twitter.com/seanybingbong
1877,,2016-10-15 17:49,USD,False,25,2017-03-15 18:50,BACKER,Backer,150,USER,https://opencollective.com/ericclemmons,https://twitter.com/ericclemmons,,https://github.com/ericclemmons/
1878,,2016-10-15 17:49,USD,False,5,2017-03-15 18:51,BACKER,Backer,30,USER,https://opencollective.com/andreypopp,https://twitter.com/andreypopp,,https://andreypopp.com
1879,,2016-10-15 17:50,USD,False,10,2016-12-15 18:51,BACKER,Backer,30,USER,https://opencollective.com/webdesserts,https://twitter.com/webdesserts,https://github.com/webdesserts,https://webdesserts.com
1880,,2016-10-15 19:06,USD,True,25,2016-10-15 19:06,BACKER,0,25,USER,https://opencollective.com/mrjoelkemp,https://twitter.com/mrjoelkemp,,https://www.mrjoelkemp.com
1881,,2016-10-15 19:35,USD,False,10,2018-01-15 20:49,BACKER,Backer,160,USER,https://opencollective.com/probablyup,https://twitter.com/probablyup,https://github.com/probablyup,https://probablyup.com/
1882,@babel,2016-10-15 21:02,USD,True,11.21,2016-10-15 21:02,BACKER,0,11.21,USER,https://opencollective.com/left_pad,https://twitter.com/left_pad,https://github.com/hzoo,https://www.henryzoo.com
1883,,2016-10-15 21:31,USD,False,-4200,2017-11-13 00:44,BACKER,Backer,80,USER,https://opencollective.com/seanlarkin,,https://github.com/thelarkinn,https://github.com/thelarkinn
1892,,2016-10-16 06:29,USD,False,2,2017-01-16 07:31,BACKER,Backer,8,USER,https://opencollective.com/lukepage,,,
1893,,2016-10-16 08:23,USD,False,5,2016-11-16 09:23,BACKER,Backer,10,USER,https://opencollective.com/maarten,,,
1894,,2016-10-16 10:15,USD,False,5,2023-10-01 00:03,BACKER,Backer,420,USER,https://opencollective.com/mattlewis92,https://twitter.com/mattlewis92_,,https://mattlewis.me
1895,,2016-10-16 12:21,USD,False,2,2017-10-10 01:09,BACKER,Backer,26,USER,https://opencollective.com/oieduardorabelo,https://twitter.com/oieduardorabelo,,https://www.eduardorabelo.me
1896,,2016-10-16 14:05,USD,False,25,2019-06-17 05:00,BACKER,Backer,825,USER,https://opencollective.com/irvinwaldman,https://twitter.com/irvinwaldman,,
1897,,2016-10-16 17:28,USD,False,2,2017-11-16 18:30,BACKER,Backer,28,USER,https://opencollective.com/jakewilliams,https://twitter.com/jakedaywilliams,,https://wildacademy.com
